OpenROAD f12e2f474102bfb875eeee57fb610d7d7de17770 
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO PSM-0002] Output voltage file is specified as: /workspace/iris_c3a247b9-0025-43e1-bae8-42a940fa0b63/Chip-Orchestra/output/nanocgra_lite_3x3_opt/reports/pdnsim_vdd.rpt.
[WARNING PSM-0016] Voltage pad location (VSRC) file not specified, defaulting pad location to checkerboard pattern on core area.
[WARNING PSM-0017] X direction bump pitch is not specified, defaulting to 140um.
[WARNING PSM-0018] Y direction bump pitch is not specified, defaulting to 140um.
[WARNING PSM-0065] VSRC location not specified, using default checkerboard pattern with one VDD every size bumps in x-direction and one in two bumps in the y-direction
[WARNING PSM-0030] VSRC location at (10.080um, 11.760um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (10.080um, 41.460um).
[WARNING PSM-0030] VSRC location at (290.080um, 151.760um) and size 10.000um, is not located on an existing power stripe node. Moving to closest node at (280.080um, 161.460um).
[INFO PSM-0031] Number of PDN nodes on net vdd = 16202.
[WARNING PSM-0024] Instance _04998_, current node at (54000, 313600) at layer 1 have been moved from (54880, 305760).
[WARNING PSM-0024] Instance _04999_, current node at (329400, 501760) at layer 1 have been moved from (328160, 493920).
[WARNING PSM-0024] Instance _05000_, current node at (421200, 486080) at layer 1 have been moved from (420000, 478240).
[WARNING PSM-0024] Instance _05003_, current node at (367200, 329280) at layer 1 have been moved from (365120, 321440).
[WARNING PSM-0024] Instance _05005_, current node at (388800, 329280) at layer 1 have been moved from (389760, 321440).
[WARNING PSM-0024] Instance _05006_, current node at (475200, 313600) at layer 1 have been moved from (474880, 305760).
[WARNING PSM-0024] Instance _05008_, current node at (54000, 533120) at layer 1 have been moved from (54880, 525280).
[WARNING PSM-0024] Instance _05013_, current node at (156600, 360640) at layer 1 have been moved from (159040, 352800).
[WARNING PSM-0024] Instance _05017_, current node at (345600, 172480) at layer 1 have been moved from (343840, 164640).
[WARNING PSM-0024] Instance _05022_, current node at (210600, 548800) at layer 1 have been moved from (212800, 540960).
[WARNING PSM-0024] Instance _05027_, current node at (135000, 219520) at layer 1 have been moved from (134400, 211680).
[WARNING PSM-0024] Instance _05028_, current node at (129600, 297920) at layer 1 have been moved from (131040, 290080).
[WARNING PSM-0024] Instance _05033_, current node at (372600, 470400) at layer 1 have been moved from (370720, 462560).
[WARNING PSM-0024] Instance _05035_, current node at (318600, 282240) at layer 1 have been moved from (319200, 274400).
[WARNING PSM-0024] Instance _05039_, current node at (108000, 454720) at layer 1 have been moved from (109760, 446880).
[WARNING PSM-0024] Instance _05040_, current node at (140400, 533120) at layer 1 have been moved from (141120, 525280).
[WARNING PSM-0024] Instance _05041_, current node at (145800, 439040) at layer 1 have been moved from (146720, 431200).
[WARNING PSM-0024] Instance _05044_, current node at (221400, 360640) at layer 1 have been moved from (224000, 352800).
[WARNING PSM-0024] Instance _05054_, current node at (280800, 548800) at layer 1 have been moved from (280000, 540960).
[WARNING PSM-0024] Instance _05055_, current node at (216000, 250880) at layer 1 have been moved from (213920, 243040).
[WARNING PSM-0024] Instance _05058_, current node at (221400, 266560) at layer 1 have been moved from (220640, 258720).
[WARNING PSM-0024] Instance _05059_, current node at (54000, 266560) at layer 1 have been moved from (54880, 258720).
[WARNING PSM-0024] Instance _05062_, current node at (54000, 344960) at layer 1 have been moved from (54880, 337120).
[WARNING PSM-0024] Instance _05063_, current node at (372600, 439040) at layer 1 have been moved from (372960, 431200).
[WARNING PSM-0024] Instance _05064_, current node at (399600, 407680) at layer 1 have been moved from (402080, 399840).
[WARNING PSM-0024] Instance _05065_, current node at (378000, 454720) at layer 1 have been moved from (379680, 446880).
[WARNING PSM-0024] Instance _05067_, current node at (388800, 360640) at layer 1 have been moved from (389760, 352800).
[WARNING PSM-0024] Instance _05070_, current node at (432000, 360640) at layer 1 have been moved from (431200, 352800).
[WARNING PSM-0024] Instance _05071_, current node at (32400, 392000) at layer 1 have been moved from (34720, 384160).
[WARNING PSM-0024] Instance _05072_, current node at (54000, 501760) at layer 1 have been moved from (54880, 493920).
[WARNING PSM-0024] Instance _05073_, current node at (54000, 376320) at layer 1 have been moved from (54880, 368480).
[WARNING PSM-0024] Instance _05075_, current node at (199800, 313600) at layer 1 have been moved from (199360, 305760).
[WARNING PSM-0024] Instance _05077_, current node at (199800, 282240) at layer 1 have been moved from (197120, 274400).
[WARNING PSM-0024] Instance _05079_, current node at (302400, 203840) at layer 1 have been moved from (302400, 196000).
[WARNING PSM-0024] Instance _05083_, current node at (210600, 454720) at layer 1 have been moved from (210560, 446880).
[WARNING PSM-0024] Instance _05084_, current node at (221400, 564480) at layer 1 have been moved from (220640, 556640).
[WARNING PSM-0024] Instance _05085_, current node at (210600, 470400) at layer 1 have been moved from (209440, 462560).
[WARNING PSM-0024] Instance _05086_, current node at (243000, 548800) at layer 1 have been moved from (243040, 540960).
[WARNING PSM-0024] Instance _05089_, current node at (253800, 188160) at layer 1 have been moved from (253120, 180320).
[WARNING PSM-0024] Instance _05091_, current node at (113400, 250880) at layer 1 have been moved from (114240, 243040).
[WARNING PSM-0024] Instance _05093_, current node at (140400, 235200) at layer 1 have been moved from (141120, 227360).
[WARNING PSM-0024] Instance _05094_, current node at (140400, 313600) at layer 1 have been moved from (141120, 305760).
[WARNING PSM-0024] Instance _05095_, current node at (302400, 501760) at layer 1 have been moved from (301280, 493920).
[WARNING PSM-0024] Instance _05097_, current node at (307800, 486080) at layer 1 have been moved from (305760, 478240).
[WARNING PSM-0024] Instance _05101_, current node at (334800, 313600) at layer 1 have been moved from (332640, 305760).
[WARNING PSM-0024] Instance _05102_, current node at (432000, 313600) at layer 1 have been moved from (431200, 305760).
[WARNING PSM-0024] Instance _05104_, current node at (140400, 501760) at layer 1 have been moved from (141120, 493920).
[WARNING PSM-0024] Instance _05105_, current node at (129600, 423360) at layer 1 have been moved from (129920, 415520).
[WARNING PSM-0024] Instance _05108_, current node at (356400, 642880) at layer 1 have been moved from (357280, 635040).
[WARNING PSM-0024] Instance _05111_, current node at (378000, 721280) at layer 1 have been moved from (379680, 713440).
[WARNING PSM-0024] Instance _05115_, current node at (232200, 721280) at layer 1 have been moved from (230720, 713440).
[WARNING PSM-0024] Instance _05116_, current node at (75600, 752640) at layer 1 have been moved from (76160, 744800).
[WARNING PSM-0024] Instance _05120_, current node at (140400, 736960) at layer 1 have been moved from (141120, 729120).
[WARNING PSM-0024] Instance _05121_, current node at (124200, 736960) at layer 1 have been moved from (124320, 729120).
[WARNING PSM-0024] Instance _05123_, current node at (221400, 689920) at layer 1 have been moved from (220640, 682080).
[WARNING PSM-0024] Instance _05124_, current node at (210600, 721280) at layer 1 have been moved from (210560, 713440).
[WARNING PSM-0024] Instance _05125_, current node at (199800, 736960) at layer 1 have been moved from (197120, 729120).
[WARNING PSM-0024] Instance _05128_, current node at (172800, 721280) at layer 1 have been moved from (170240, 713440).
[WARNING PSM-0024] Instance _05129_, current node at (178200, 721280) at layer 1 have been moved from (180320, 713440).
[WARNING PSM-0024] Instance _05130_, current node at (194400, 705600) at layer 1 have been moved from (192640, 697760).
[WARNING PSM-0024] Instance _05131_, current node at (351000, 674240) at layer 1 have been moved from (348320, 666400).
[WARNING PSM-0024] Instance _05132_, current node at (356400, 674240) at layer 1 have been moved from (357280, 666400).
[WARNING PSM-0024] Instance _05133_, current node at (248400, 674240) at layer 1 have been moved from (249760, 666400).
[WARNING PSM-0024] Instance _05135_, current node at (410400, 674240) at layer 1 have been moved from (412160, 666400).
[WARNING PSM-0024] Instance _05136_, current node at (432000, 658560) at layer 1 have been moved from (432320, 650720).
